"Timestamp","What do you enjoy playing in Generals Zero Hour?","Do you participate in Multiplayer leagues, tournaments or challenges?","What platform(s) do you use when playing Multiplayer?","Do you use any optional tools?","When playing a match in Singleplayer or Multiplayer, do you encounter any gameplay issues that are frustrating?","When playing a match in Multiplayer, do you encounter any faction (army) balancing issues that appear unfair?","All Community Mods aside, how happy are you with the overall state of original Zero Hour 1.04 Version?","If Electronic Arts (EA) was to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","If Community Users were to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","What patch changes would be be acceptable for you beyond fixes and improvements with mainly Multiplayer in mind?","If an original game feature is bugged and its use has been accepted as not cheating/exploiting, would you prefer the bug to be fixed, even if it meant the gameplay changed because of it?","If an original game feature is imbalanced and impossible to fix by just changing build cost and build time, would you prefer the imbalance to be fixed, even if it meant the gameplay changed because of it?","If Community Users would release and distribute a new patch with fixes and improvements, would you be concerned about its adoption success by the general Multiplayer population? (Player base split)","Would a new patch with fixes and improvements be an incentive for you to play more Multiplayer?","Here you can write anything that is on your mind related to this questionnaire. What do you find frustrating? What would you like to see improved?"
"2021/08/29 9:56:51 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","Yes, many","4","5","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes, a bit","No, same",""
"2021/08/29 10:03:31 AM GMT+2","Singleplayer;Multiplayer","No","GameRanger","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Menu changes;Ingame Interface changes","No","No","Yes","No, same",""
"2021/08/29 10:05:28 AM GMT+2","Multiplayer","Yes","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","3","5","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, same","I find it frustrating that Joker tagged me everywhere with this survey. Already answering it, now stop tagging me."
"2021/08/29 10:07:06 AM GMT+2","Singleplayer","No","CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","Yes, a few","1","4","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","No","Yes","Do NOT appease noobs who just want new OP units and shit just because they want to see GLA do explosions. NO NEW UNITS / FACTIONS / ETC. Just fix what's already there like 1.06 did. We have mods for the rest. Otherwise, if you can do ANY DLL magic to fix even more memory leakage, it goes without saying that I'd love to see that even more."
"2021/08/29 10:07:28 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","5","3","3","Ingame Interface changes","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same",""
"2021/08/29 10:09:07 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest)","Yes, often","Yes, many","3","5","5","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes, a bit","Yes",""
"2021/08/29 10:09:35 AM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","No","4","1","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same","Anything that will make the game easier to run without having to worry about crashes, desyncs. Also It would be cool if we'd be able to have more control over multiplayer games such as all players having unlimited money, start game with all generals powers unlocked, unlimited power, etc. Just for fun."
"2021/08/29 10:09:50 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","No","Yes, many","3","5","4","Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","Yes",""
"2021/08/29 10:10:37 AM GMT+2","Multiplayer","No","GameRanger;Hamachi;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","4","5","Menu changes;Audio and visual changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes","I hope changes will not make a different in the game play. "
"2021/08/29 10:18:33 AM GMT+2","Singleplayer;Multiplayer","No","Other","GenTool (latest)","No","Yes, a few","5","5","4","Menu changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes, if the impact is small","Yes","No, same",""
