"Timestamp","Что вам нравится в игре Generals Zero Hour?","Участвуете ли вы в многопользовательских лигах, турнирах или соревнованиях?","Какие платформы вы используете для игры с другими людьми?","Используете ли вы что-то из ниже перечисленного?","Во время игры в одиночном или многопользовательском режиме сталкиваетесь ли вы с какими-либо игровыми проблемами, которые вас расстраивают?","Сталкиваетесь ли вы с проблемами баланса фракций (армий), которые кажутся несправедливыми или нечестными, когда играете в многопользовательском режиме?","Если отбросить все моды сообщества, насколько вы довольны общим состоянием оригинальной версии Zero Hour 1.04?","Если бы Electronic Arts (EA) сегодня выпустила новый патч на Generals Zero Hour 1.04, исправляющий эксплойты, ошибки, дисбаланс и улучшающий производительность, графику и звуки, насколько вы были бы этому рады?","Если бы Пользователи Сообщества выпустили сегодня патч на Generals Zero Hour 1.04 и исправили эксплойты, ошибки, дисбаланс и улучшили производительность, графику и звуки, насколько бы вы были этому рады?","Какие изменения в патче,  в основном касающихся мультиплеера, были бы приемлемы для вас, помимо исправлений и улучшений?","Если в оригинальной игре есть баг или ошибка, предпочли бы вы, чтобы она была исправлена, даже если бы из-за этого изменился геймплей?","Если в оригинальной игре есть дисбаланс, который невозможно исправить просто изменив стоимость и время строительства, вы бы предпочли, чтобы дисбаланс был исправлен даже если бы из-за этого изменился геймплей?","Если бы Пользователи Сообщества выпустили и распространили новый патч с исправлениями и улучшениями, беспокоились бы вы о том, насколько успешно он будет принят широкой аудиторией мультиплеера? (Разделение игроков на два лагеря)","Стал бы новый патч с исправлениями и улучшениями для вас стимулом, чтобы больше играть в мультиплеер?","Здесь вы можете написать все, что у вас на уме, связанное с этим опросом. Что вас расстраивает? Что вы хотели бы улучшить?"
"2021/08/29 8:17:00 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, часто","3","5","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же","StaZzz Noob"
"2021/08/29 8:47:41 AM GMT+2","Одиночный режим;Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro;Другое","Да, иногда","Да, временами","3","5","4","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 8:52:40 AM GMT+2","Одиночный режим;Игры Онлайн","Да","CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","2","Изменения меню","Нет","Нет","Нет","Нет, станет меньше",""
"2021/08/29 11:01:44 AM GMT+2","Одиночный режим;Игры Онлайн","Да","GameRanger;Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да, немного","Да","darkdanteTV одобряет... "
"2021/08/29 12:06:00 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","4","2","","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Нет, станет меньше",""
"2021/08/29 12:08:12 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","4","5","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же","Хотел бы новые эффектыXD"
"2021/08/29 12:09:50 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да","Да","1. Баги игровых механик(например скрапованный квад с лычками слабее ,чем просто лычкованный и т.д). 2. Вылеты. 3. Защита от мапхака"
"2021/08/29 12:10:33 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да","Просто делайте красиво!Большего и не надо!🤙 ;)"
"2021/08/29 12:12:12 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Нет","Да, временами","5","4","4","Изменения меню;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да",":)"
"2021/08/29 12:12:25 PM GMT+2","Игры Онлайн","Да","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Нет","Нет","5","3","3","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Нет, останется таким же","я хочу чтобы просто исправили баги и рассинхроны, но экономика, геймплей, графика оставалась как и сейчас "
